Captions,Label
"['home', 'depot', 'dewalt', 'v', 'max', 'toughsystem', 'tool', 'combo', 'kit', 'save', 'free', 'shipping']",Scam
"['natural', 'australian', 'opal', 'doublets', 'ct', 'reference', 'coin', 'penny', 'mm', 'please', 'claim', 'mine', 'first', 'class', 'usps', 'shipping', 'international', 'shipping', 'canada', 'please', 'send', 'dm', 'international', 'first', 'one', 'claim', 'mine', 'wins', 'natural', 'bestdeals', 'turquoise', 'sale', 'turquoiseterritory', 'turquoise', 'diamonds', 'cab', 'cabs', 'cabochon', 'cabochonmaker', 'cabsforsale', 'camericanturquoiseabsupplier', 'turquoise', 'nevada', 'forsale', 'turquoiseoverdiamonds', 'cabsforsale', 'cabachonsupplier', 'cabachons', 'silversmith', 'turquoisejewelry', 'turquoiseterritory', 'cabsforsale', 'instasmithy', 'roystonturquoise', 'sonorangoldturquoise']",Scam
"['natural', 'australian', 'opal', 'doublets', 'mm', 'ct', 'reference', 'coin', 'penny', 'mm', 'please', 'claim', 'mine', 'first', 'class', 'usps', 'shipping', 'international', 'shipping', 'canada', 'please', 'send', 'dm', 'international', 'first', 'one', 'claim', 'mine', 'wins', 'natural', 'bestdeals', 'turquoise', 'sale', 'turquoiseterritory', 'turquoise', 'diamonds', 'cab', 'cabs', 'cabochon', 'cabochonmaker', 'cabsforsale', 'camericanturquoiseabsupplier', 'turquoise', 'nevada', 'forsale', 'turquoiseoverdiamonds', 'cabsforsale', 'cabachonsupplier', 'cabachons', 'silversmith', 'turquoisejewelry', 'turquoiseterritory', 'cabsforsale', 'instasmithy', 'roystonturquoise', 'sonorangoldturquoise']",Scam
"['natural', 'australian', 'opal', 'doublets', 'ct', 'reference', 'coin', 'penny', 'mm', 'please', 'claim', 'mine', 'first', 'class', 'usps', 'shipping', 'international', 'shipping', 'canada', 'please', 'send', 'dm', 'international', 'first', 'one', 'claim', 'mine', 'wins', 'natural', 'bestdeals', 'turquoise', 'sale', 'turquoiseterritory', 'turquoise', 'diamonds', 'cab', 'cabs', 'cabochon', 'cabochonmaker', 'cabsforsale', 'camericanturquoiseabsupplier', 'turquoise', 'nevada', 'forsale', 'turquoiseoverdiamonds', 'cabsforsale', 'cabachonsupplier', 'cabachons', 'silversmith', 'turquoisejewelry', 'turquoiseterritory', 'cabsforsale', 'instasmithy', 'roystonturquoise', 'sonorangoldturquoise']",Scam
"['natural', 'australian', 'opal', 'doublets', 'ct', 'reference', 'coin', 'penny', 'mm', 'please', 'claim', 'mine', 'first', 'class', 'usps', 'shipping', 'international', 'shipping', 'canada', 'please', 'send', 'dm', 'international', 'first', 'one', 'claim', 'mine', 'wins', 'natural', 'bestdeals', 'turquoise', 'sale', 'turquoiseterritory', 'turquoise', 'diamonds', 'cab', 'cabs', 'cabochon', 'cabochonmaker', 'cabsforsale', 'camericanturquoiseabsupplier', 'turquoise', 'nevada', 'forsale', 'turquoiseoverdiamonds', 'cabsforsale', 'cabachonsupplier', 'cabachons', 'silversmith', 'turquoisejewelry', 'turquoiseterritory', 'cabsforsale', 'instasmithy', 'roystonturquoise', 'sonorangoldturquoise']",Scam
"['natural', 'australian', 'opal', 'doublets', 'ct', 'reference', 'coin', 'penny', 'mm', 'please', 'claim', 'mine', 'first', 'class', 'usps', 'shipping', 'international', 'shipping', 'canada', 'please', 'send', 'dm', 'international', 'first', 'one', 'claim', 'mine', 'wins', 'natural', 'bestdeals', 'turquoise', 'sale', 'turquoiseterritory', 'turquoise', 'diamonds', 'cab', 'cabs', 'cabochon', 'cabochonmaker', 'cabsforsale', 'camericanturquoiseabsupplier', 'turquoise', 'nevada', 'forsale', 'turquoiseoverdiamonds', 'cabsforsale', 'cabachonsupplier', 'cabachons', 'silversmith', 'turquoisejewelry', 'turquoiseterritory', 'cabsforsale', 'instasmithy', 'roystonturquoise', 'sonorangoldturquoise']",Scam
"['natural', 'australian', 'opal', 'doublet', 'ct', 'reference', 'coin', 'penny', 'mm', 'please', 'claim', 'mine', 'first', 'class', 'usps', 'shipping', 'international', 'shipping', 'canada', 'please', 'send', 'dm', 'international', 'first', 'one', 'claim', 'mine', 'wins', 'natural', 'bestdeals', 'turquoise', 'sale', 'turquoiseterritory', 'turquoise', 'diamonds', 'cab', 'cabs', 'cabochon', 'cabochonmaker', 'cabsforsale', 'camericanturquoiseabsupplier', 'turquoise', 'nevada', 'forsale', 'turquoiseoverdiamonds', 'cabsforsale', 'cabachonsupplier', 'cabachons', 'silversmith', 'turquoisejewelry', 'turquoiseterritory', 'cabsforsale', 'instasmithy', 'roystonturquoise', 'sonorangoldturquoise']",Scam
"['natural', 'australian', 'opal', 'doublet', 'ct', 'reference', 'coin', 'penny', 'mm', 'please', 'claim', 'mine', 'first', 'class', 'usps', 'shipping', 'international', 'shipping', 'canada', 'please', 'send', 'dm', 'international', 'first', 'one', 'claim', 'mine', 'wins', 'natural', 'bestdeals', 'turquoise', 'sale', 'turquoiseterritory', 'turquoise', 'diamonds', 'cab', 'cabs', 'cabochon', 'cabochonmaker', 'cabsforsale', 'camericanturquoiseabsupplier', 'turquoise', 'nevada', 'forsale', 'turquoiseoverdiamonds', 'cabsforsale', 'cabachonsupplier', 'cabachons', 'silversmith', 'turquoisejewelry', 'turquoiseterritory', 'cabsforsale', 'instasmithy', 'roystonturquoise', 'sonorangoldturquoise']",Scam
"['natural', 'australian', 'opal', 'doublets', 'ct', 'reference', 'coin', 'penny', 'mm', 'please', 'claim', 'mine', 'first', 'class', 'usps', 'shipping', 'international', 'shipping', 'canada', 'please', 'send', 'dm', 'international', 'first', 'one', 'claim', 'mine', 'wins', 'natural', 'bestdeals', 'turquoise', 'sale', 'turquoiseterritory', 'turquoise', 'diamonds', 'cab', 'cabs', 'cabochon', 'cabochonmaker', 'cabsforsale', 'camericanturquoiseabsupplier', 'turquoise', 'nevada', 'forsale', 'turquoiseoverdiamonds', 'cabsforsale', 'cabachonsupplier', 'cabachons', 'silversmith', 'turquoisejewelry', 'turquoiseterritory', 'cabsforsale', 'instasmithy', 'roystonturquoise', 'sonorangoldturquoise']",Scam
"['natural', 'australian', 'opal', 'doublets', 'ct', 'reference', 'coin', 'penny', 'mm', 'please', 'claim', 'mine', 'first', 'class', 'usps', 'shipping', 'international', 'shipping', 'canada', 'please', 'send', 'dm', 'international', 'first', 'one', 'claim', 'mine', 'wins', 'natural', 'bestdeals', 'turquoise', 'sale', 'turquoiseterritory', 'turquoise', 'diamonds', 'cab', 'cabs', 'cabochon', 'cabochonmaker', 'cabsforsale', 'camericanturquoiseabsupplier', 'turquoise', 'nevada', 'forsale', 'turquoiseoverdiamonds', 'cabsforsale', 'cabachonsupplier', 'cabachons', 'silversmith', 'turquoisejewelry', 'turquoiseterritory', 'cabsforsale', 'instasmithy', 'roystonturquoise', 'sonorangoldturquoise']",Scam
